Researcher_ID,Field_of_Study,Years_Experience,Primary_LLM_Tool,Usage_Frequency,Weekly_Hours_Saved,Papers_Published_3Yrs,Ethical_Concern_Score,AI_Detection_Pass_Rate
RES_0001,Social Sciences,4,Copilot,Daily,1.1,6,8,94.76
RES_0002,Humanities,5,Gemini Ultra,Rarely,6.6,6,1,93.02
RES_0003,Physics,8,Gemini Ultra,Monthly,4.3,5,9,74.37
RES_0004,Humanities,4,Llama 3,Weekly,12.5,5,4,83.94
RES_0005,Humanities,6,None,Rarely,0.0,8,8,66.23
RES_0006,Medicine,3,Claude 3,Rarely,5.7,2,10,81.37
RES_0007,Physics,5,Claude 3,Never,12.6,3,7,69.19
RES_0008,Physics,14,GPT-4,Rarely,1.0,3,10,89.68
RES_0009,Physics,8,Gemini Ultra,Weekly,5.3,8,7,81.07
RES_0010,Humanities,14,Gemini Ultra,Weekly,4.4,2,2,76.41
RES_0011,Social Sciences,4,Claude 3,Monthly,4.3,10,1,70.73
RES_0012,Physics,12,GPT-4,Monthly,2.0,6,4,99.85
RES_0013,Engineering,1,Copilot,Monthly,3.6,8,2,62.86
RES_0014,Humanities,8,GPT-4,Rarely,8.8,5,8,61.74
RES_0015,Medicine,13,Gemini Ultra,Rarely,5.1,3,10,68.67
RES_0016,Social Sciences,1,None,Never,0.0,5,7,98.75
RES_0017,Engineering,4,Claude 3,Monthly,6.8,1,8,99.07
RES_0018,Engineering,8,GPT-4,Daily,6.3,8,6,86.13
RES_0019,Medicine,16,Gemini Ultra,Never,13.3,6,1,95.12
RES_0020,Social Sciences,5,Copilot,Daily,13.7,4,9,68.54
RES_0021,Humanities,12,Llama 3,Rarely,7.9,7,6,98.78
RES_0022,Computer Science,21,None,Never,0.0,1,10,65.7
RES_0023,Social Sciences,12,GPT-4,Never,5.6,7,1,64.03
RES_0024,Medicine,7,Llama 3,Weekly,2.5,3,1,64.48
RES_0025,Engineering,10,Gemini Ultra,Rarely,14.3,9,8,82.87
RES_0026,Humanities,5,Copilot,Rarely,1.8,4,6,91.16
RES_0027,Social Sciences,8,GPT-4,Never,5.2,2,8,74.63
RES_0028,Computer Science,7,Copilot,Rarely,5.2,4,8,99.02
RES_0029,Computer Science,10,Llama 3,Never,5.5,6,8,77.33
RES_0030,Physics,5,Claude 3,Weekly,3.3,2,10,66.0
RES_0031,Physics,11,GPT-4,Never,12.0,1,7,78.59
RES_0032,Medicine,5,Copilot,Rarely,2.7,7,7,87.09
RES_0033,Social Sciences,15,GPT-4,Rarely,9.9,7,10,93.21
RES_0034,Social Sciences,6,Claude 3,Never,2.7,6,4,78.3
RES_0035,Engineering,1,GPT-4,Never,2.0,8,9,83.68
RES_0036,Engineering,3,Copilot,Never,13.7,7,2,70.67
RES_0037,Engineering,8,Gemini Ultra,Monthly,3.7,5,9,85.77
RES_0038,Physics,24,Gemini Ultra,Rarely,12.5,6,10,99.34
RES_0039,Social Sciences,14,GPT-4,Rarely,8.6,6,3,61.96
RES_0040,Social Sciences,1,Gemini Ultra,Monthly,2.1,7,2,95.37
RES_0041,Computer Science,1,Llama 3,Never,14.4,6,4,82.44
RES_0042,Physics,18,Copilot,Weekly,4.5,3,5,70.06
RES_0043,Humanities,13,None,Never,0.0,3,2,98.1
RES_0044,Physics,33,GPT-4,Never,13.0,1,1,79.29
RES_0045,Humanities,5,Gemini Ultra,Monthly,3.4,5,10,73.23
RES_0046,Computer Science,3,GPT-4,Rarely,13.0,3,5,67.24
RES_0047,Medicine,8,Llama 3,Never,1.2,9,9,69.75
RES_0048,Social Sciences,5,GPT-4,Rarely,8.2,8,5,93.23
RES_0049,Computer Science,16,Claude 3,Daily,11.8,4,10,84.51
RES_0050,Social Sciences,5,Claude 3,Rarely,14.1,2,9,96.44
RES_0051,Engineering,6,Gemini Ultra,Weekly,13.7,3,10,69.26
RES_0052,Medicine,3,Claude 3,Weekly,12.5,2,6,64.83
RES_0053,Medicine,14,Gemini Ultra,Never,13.4,4,3,60.24
RES_0054,Computer Science,3,Claude 3,Rarely,3.8,4,4,80.26
RES_0055,Medicine,11,GPT-4,Never,5.0,5,4,99.83
RES_0056,Humanities,27,Gemini Ultra,Monthly,5.0,8,1,87.73
RES_0057,Medicine,1,GPT-4,Weekly,6.3,6,3,72.3
RES_0058,Social Sciences,22,Claude 3,Never,6.5,3,3,94.99
